Ref,Val,Package,PosX,PosY,Rot,Side
"C1","CL10B104KB8NNNL","C_0603_1608Metric",93.800000,-83.200000,90.000000,top
"C3","CL10B104KB8NNNL","C_0603_1608Metric",93.800000,-79.800000,270.000000,top
"C4","CL21A226MQQNNNE","C_0805_2012Metric",75.150000,-110.850000,270.000000,top
"C5","CL21A226MQQNNNE","C_0805_2012Metric",104.900000,-110.862500,90.000000,top
"C6","CL21A106MQFNNNE","C_0805_2012Metric",91.800000,-128.337500,270.000000,top
"C7","CL10B104KB8NNNL","C_0603_1608Metric",89.800000,-128.200000,270.000000,top
"C8","CL21A106MQFNNNE","C_0805_2012Metric",82.250000,-100.000000,90.000000,top
"C9","CL10B104KB8NNNL","C_0603_1608Metric",84.250000,-100.000000,90.000000,top
"C10","CL10B104KB8NNNL","C_0603_1608Metric",87.600000,-126.600000,90.000000,top
"C11","CL10B104KB8NNNL","C_0603_1608Metric",97.200000,-89.212500,90.000000,top
"C12","GJM1555C1H1R0BB01D","C_0402_1005Metric",90.000000,-77.200000,180.000000,top
"C13","CL32A107MPVNNNE","C_1210_3225Metric",77.540000,-91.280000,270.000000,top
"C14","CL32A107MPVNNNE","C_1210_3225Metric",102.640000,-91.260000,270.000000,top
"D1","VLMTG1400-GS08","LED_0603",76.400000,-104.100000,90.000000,top
"D2","VLMTG1400-GS08","LED_0603",103.600000,-104.100000,90.000000,top
"D3","IN-S63BT5UW","LED_0603",90.010000,-134.040000,270.000000,top
"D4","VLMTG1400-GS08","LED_0603",81.000000,-134.000000,45.000000,top
"D5","VLMTG1400-GS08","LED_0603",99.030330,-115.969670,225.000000,top
"D6","VLMTG1400-GS08","LED_0603",102.750000,-125.000000,180.000000,top
"D7","VLMTG1400-GS08","LED_0603",81.000000,-116.000000,315.000000,top
"D8","VLMTG1400-GS08","LED_0603",77.250000,-125.000000,0.000000,top
"D9","VLMTG1400-GS08","LED_0603",99.000000,-134.000000,135.000000,top
"D10","VLMTG1400-GS08","LED_0603",90.000000,-112.250000,270.000000,top
"D11","VLMTG1400-GS08","LED_0603",90.000000,-137.750000,90.000000,top
"D12","19-337C_RSBHGHC-A88_4T","6-0606_1.6x1.6mm_19-337C_Everlight",90.000000,-119.000000,180.000000,top
"Q1","PT19-21C_L41_TR8","PHOTOTRAN_0603",72.900000,-104.340000,90.000000,top
"Q2","PT19-21C_L41_TR8","PHOTOTRAN_0603",107.100000,-104.400000,90.000000,top
"Q3","MMBT2222ALT1G","SOT-23-3",78.200000,-111.100000,90.000000,top
"Q4","MMBT2222ALT1G","SOT-23-3",101.800000,-111.100000,90.000000,top
"Q5","BSS138-7-F","SOT-23-3",107.000000,-120.000000,90.000000,top
"Q6","BSS138-7-F","SOT-23-3",73.000000,-120.000000,90.000000,top
"Q7","NXV75UPR","SOT-23-3",96.600000,-77.850000,180.000000,top
"R1","RK73H1JTTD2004F","R_0603_1608Metric",74.650000,-107.350000,270.000000,top
"R2","RK73H1JTTD2004F","R_0603_1608Metric",105.300000,-107.400000,270.000000,top
"R3","CR0603-FX-82R0ELF","R_0603_1608Metric",78.400000,-107.600000,270.000000,top
"R4","CR0603-FX-82R0ELF","R_0603_1608Metric",101.600000,-107.600000,270.000000,top
"R5","CR0603-FX-82R0ELF","R_0603_1608Metric",87.100000,-105.500000,270.000000,top
"R6","CR0603-FX-82R0ELF","R_0603_1608Metric",88.600000,-105.500000,270.000000,top
"R7","CR0603-FX-82R0ELF","R_0603_1608Metric",90.100000,-105.500000,270.000000,top
"R8","CR0603-FX-82R0ELF","R_0603_1608Metric",91.600000,-105.500000,270.000000,top
"R9","CRGCQ0603F27K","R_0603_1608Metric",96.412500,-100.400000,180.000000,top
"R10","CRGCQ0603F27K","R_0603_1608Metric",95.600000,-97.800000,90.000000,top
"R11","RMCF0603FT100K","R_0603_1608Metric",96.187500,-104.500000,0.000000,top
"R12","RC0603FR-074K7L","R_0603_1608Metric",96.412500,-93.000000,180.000000,top
"R13","CRGCQ0603F27K","R_0603_1608Metric",84.000000,-91.500000,270.000000,top
"R14","RC0603FR-074K7L","R_0603_1608Metric",82.000000,-91.500000,270.000000,top
"R15","RMCF0603FT7K50","R_0603_1608Metric",81.500000,-96.000000,180.000000,top
"R16","RMCF0603FT7K50","R_0603_1608Metric",72.890000,-107.352500,270.000000,top
"R17","RMCF0603FT7K50","R_0603_1608Metric",107.100000,-107.380000,270.000000,top
"U1","ST25DV04K-IER6S3","SOIC-8_W3.9mm",90.000000,-81.550000,180.000000,top
"U2","LIS3MDLTR","VFLGA-12_2x2mm_6milFriendly",90.000000,-125.000000,0.000000,top
"U3","ATtiny814-SSNR","SOIC-14_3.9x8.7mm_P1.27mm",90.000000,-100.000000,90.000000,top
